ordering,Category,icon,url,title,Description,Installations,Score
0,Parental support,https://play-lh.googleusercontent.com/Og6Wx7Z-1im6FgU2EgT2J98i5JALzJbO4AdOlqG6ypQDaCP8wgVvAhFP70AEpkoGqAU,https://play.google.com/store/apps/details?id=com.kinedu.appkinedu&hl=en&gl=uk,Kinedu: Baby Development Plan,"Kinedu empowers families by providing expert development guidance through science-based activities, live play sessions, 1:1 coaching sessions, community forums, and expert-led classes on sleep, breastfeeding, language acquisition, nutrition, and more...",5000000,4.27
2,Parental support,https://play-lh.googleusercontent.com/12_rR_Uxr68rIYtQp3GP2vlLkqrqRJdQTVgbOv-bZ_ZOX3nukkWugJpkuqmXDrZbftQ,https://play.google.com/store/apps/details?id=com.pg.clubpampers.android.us&hl=en&gl=uk,Pampers Club: Diaper Offers,"Download Pampers Club today and earn Pampers Cash*! Redeem your Pampers Cash for exclusive Pampers coupon savings and rewards!  Receive $30 at Ergobaby for registering and $5 Pampers Cash* for your first 3 scans! 


Join millions of experienced & ...",1000000,n/a
4,Parental support,https://play-lh.googleusercontent.com/Rom4TEjQwDL3MBXwqTM-6EoHmBVcNmG1xvzV42vW35a3wl8oHVE99ygG2q5queY4i6U,https://play.google.com/store/apps/details?id=fr.wemoms&hl=en&gl=uk,WeMoms - Pregnancy and Moms,"Who can understand a Mom better than another Mom ?

Let's be clear about it, becoming a mother is a wonderful but challenging adventure: pregnancy, childbirth, breastfeeding, baby bottles, diapers, crying, sleep, illness, first teeth... without for...",1000000,3.42
6,Parental support,https://play-lh.googleusercontent.com/a04YCcrEe-A_qchDz9LOcxxZi28mt6ZTX-6VczZPOFYfJUjmDuejghctcUj4eFKcIGA,https://play.google.com/store/apps/details?id=com.teampeanut.peanut&hl=en&gl=uk,Peanut: Find Friends & Support,"
Welcome to Peanut, a safe space for women to connect, meet, and find support. ❤️

Over 2.5 million women have joined Peanut to connect, ask questions and find support.

Whether you’re navigating fertility, pregnancy, motherhood, or menopause, t...",1000000,3.96
8,Parental support,https://play-lh.googleusercontent.com/k6uSK_hG_wjTNWkpOoK_Vs7PU_BYZ--cf2vcYao8WsEG-6aZxj_npvpVXz2_svHB7s8,https://play.google.com/store/apps/details?id=com.babysits&hl=en&gl=uk,Babysits - Find Babysitters,"We are the babysitting community. Babysits makes it easy for parents and babysitters to find one another.

With our intuitive platform, you can effortlessly search, connect, and plan babysitting appointments.

- Search before you even sign up
- ...",500000,2.7
0,Pregnancy tracking,https://play-lh.googleusercontent.com/MIErQVL5evMyfif1wUdGvHlyFZeNKE6dnMNXA1ZBz1hx80bwQeKAotSvxkGUIxNKXbg,https://play.google.com/store/apps/details?id=com.healofy&hl=en&gl=uk,"Indian Pregnancy, Parenting Tips & Baby Products","Healofy is for Indian Babies, Moms & Pregnant Moms. From pregnancy week by week tracker, pregnancy calendar to breastfeeding, pregnancy tips in Hindi, Malayalam. Baby tips, baby care tips, parenting tips, baby health, kick counter to baby growth,  fa...",10000000,4.11
2,Pregnancy tracking,https://play-lh.googleusercontent.com/_rtgA-dRu4WU64qOx553WTLhWJ3zTShT5nzK4Icx5-qAecMS_59HkIrHWjDnxuEZjo2d,https://play.google.com/store/apps/details?id=ru.mobiledimension.kbr&hl=en&gl=uk,amma Pregnancy & Baby Tracker,"AMMA Pregnancy Tracker is a pregnancy app that provides useful information for expecting mothers and future parents. Expecting a baby is a wonderful journey, and this growth tracker app makes it even better with weekly updates about your pregnancy, p...",10000000,4.32
4,Pregnancy tracking,https://play-lh.googleusercontent.com/Vqc9AYpdgUJrfGB2obz1UNcbh-FwqkppSawG8MT1gLpX6d75VOqxokQhZxgTMSOL5zo,https://play.google.com/store/apps/details?id=com.babycenter.pregnancytracker&hl=en&gl=uk,Pregnancy App & Baby Tracker,"From the brand chosen by over 400 million expecting parents, BabyCenter’s pregnancy app and baby tracker guides you through pregnancy and beyond with daily pregnancy updates and week by week baby development information. 

Follow all the stages of ...",10000000,4.84
6,Pregnancy tracking,https://play-lh.googleusercontent.com/FUWnSyQx6nj0zENolF-dUtD7hPmF8qCFu6CuaXY2PNNV7o8jX07PZUDuB1B3L-6yzMWz,https://play.google.com/store/apps/details?id=com.hp.pregnancy.lite&hl=en&gl=uk,"Pregnancy + | tracker app, week by week in 3D","Download the world’s leading pregnancy tracker app today, for free week-by-week pregnancy information and articles!

The Pregnancy+ app features expert advice, daily articles, healthcare tips and interactive 3D models so you can track your baby’s d...",10000000,4.74
8,Pregnancy tracking,https://play-lh.googleusercontent.com/XEk53hEYWH6k7AlK7rlpPHDnUl3SE-Kz9kRHvYmVMSsrslb7gU97tx-oEKzGaRfLlQo,https://play.google.com/store/apps/details?id=com.easymobs.pregnancy&hl=en&gl=uk,Pregnancy Tracker,"Pregnancy Tracker is a very helpful app for a pregnant woman. 

Best pregnancy app for you! 

With Amila Pregnancy Tracker you can easily: 
- track your pregnancy app week by week 
- get information about your baby 
- calculate current week of...",5000000,4.87
0,Fertility tracking,https://play-lh.googleusercontent.com/3T6je2roer04CrMNWfJ1CT3VWuAWOo_qadovMi667wJ8W0DXyDflloB5aT7H9laqXvE,https://play.google.com/store/apps/details?id=com.popularapp.periodcalendar&hl=en&gl=uk,Period Calendar Period Tracker,"★The rating 4.9★ period calendar!

Popular in 63 Countries.
Trusted by 100 million Android Users.

Keep track of your menstrual cycles with Period Calendar. It tracks your periods, cycles, ovulation and the chance of conception. Period tracker h...",100000000,4.93
2,Fertility tracking,https://play-lh.googleusercontent.com/203KrYX6ZPQ4LvwcRxg8y57mDXpLp5eE7xbStyUpwVeWt0_WuF4zEVwMiuTffkSSuH9D,https://play.google.com/store/apps/details?id=org.iggymedia.periodtracker&hl=en&gl=uk,Flo Menstrual & Period Tracker,"Over 230 million women around the globe have already chosen Flo as their menstrual calendar, period tracker, fertility tracker, and pregnancy assistant!

Flo is a smart and simple feminine menstrual cycle calendar with a period tracker, helpful pre...",50000000,4.65
4,Fertility tracking,https://play-lh.googleusercontent.com/tAsMemeCgGqXOzjSbwLv-5oUqpPAmD11CBbU_nhjtKFOjdEnbmuxpwajKmiO8Trrd4k,https://play.google.com/store/apps/details?id=com.lbrc.PeriodCalendar&hl=en&gl=uk,My Calendar - Period Tracker,"Period Calendar - Menstrual Tracker
 
Period Calendar is an extremely elegant and easy-to-use application that helps women keep track of periods, cycle, ovulation, and fertile days.  Whether you are concerned about conceiving, birth control, contra...",10000000,4.84
6,Fertility tracking,https://play-lh.googleusercontent.com/v9WMLED0-CombU9xjtEHjsGsb44TaeHe3nitOsMz93vnfZ21_AyVvx3ZC4LHJc7J75Y,https://play.google.com/store/apps/details?id=com.womanlog&hl=en&gl=uk,WomanLog Period Calendar,"WomanLog is a menstrual and fertility calendar for women.

WomanLog Period Calendar and Tracker is an excellent choice to track your menstrual cycle and your period.

Extremely reliable. Very helpful. Easy to use.

The WomanLog app offers great...",10000000,4.47
8,Fertility tracking,https://play-lh.googleusercontent.com/r1wPpjtPcoEzixNTaYPh7MR0_jUwo-0JUbjeozsSWMPDUUVckNRDdqu9PB07sYPN4mZ0,https://play.google.com/store/apps/details?id=periodtracker.pregnancy.ovulationtracker&hl=en&gl=uk,Ovulation & Period Tracker,"Glad to hear from BBC & Privacy International have verified: 

“We initially looked at the most popular apps: Period Tracker by Leap Fitness Group...We did a dynamic analysis of the apps using our data interception environment to look at the data t...",10000000,4.86
0,Baby photos,https://play-lh.googleusercontent.com/VZhHlrZI5L8YupCk-u2DedzL1erZLCnmtz-DMF-EvsusBTrmyB3qsIL1TTZpek6YidM,https://play.google.com/store/apps/details?id=us.mitene&hl=en&gl=uk,FamilyAlbum - Photo Sharing,"The best way to safely share and organize your family’s photos and videos. Unlimited storage, no ads, and it’s free!

3 Reasons to Start Your Album:
1) You’ll love it

- YOUR MEMORIES ON DISPLAY. Show off your photos and videos in a way that’s bo...",5000000,4.89
2,Baby photos,https://play-lh.googleusercontent.com/FbUaf1x51GDVpAJM_rcz9LT6o8y1FF9GP5tBwORllL6vLGGjpKLUyB_k3kkGITBtAw,https://play.google.com/store/apps/details?id=com.zmobileapps.babypics&hl=en&gl=uk,Baby Pics Free,"Capture your precious moments and turn them into ever lasting memories. Baby Story App makes your pregnancy, baby pics, and baby milestones into beautiful visual stories. 

Parents-to-be & new parents, Baby Pics app is made for you!

Capture prec...",1000000,4.87
4,Baby photos,https://play-lh.googleusercontent.com/y3k-UJTSKtca-TOsZYT7ZQFEM9YIt8EEW3Hj4b_gBM7WYyFGBoiEubeZG3fD87mSgao,https://play.google.com/store/apps/details?id=com.olegsheremet.photo_baby&hl=en&gl=uk,Cute - Baby Photo Editor,"- 50 awesome templates
- 8000+ Stickers including:
    - Pregnancy milestones
    - Baby Shower stickers
    - Baby milestones
    - Love mom
    - Love Dad
    - Cute animals
    - Toys
    - Holiday stickers
    - Floral stickers
    - H...",1000000,4.75
6,Baby photos,https://play-lh.googleusercontent.com/176X48aihajMAvMkukQusQ3Sir-j7VIoZaNGv5kKNRchayK58RPeGIJPlO4zPpaUX9Wl,https://play.google.com/store/apps/details?id=com.totsieapp&hl=en&gl=uk,Totsie – Baby Photo Editor,"** #1 Pregnancy & Baby Milestone app **

Totsie turns your baby's precious little moments into lasting memories. Capture adorable pregnancy & baby milestone photos by adding gorgeous hand crafted stickers & custom text. Create heart melting compari...",1000000,4.73
8,Baby photos,https://play-lh.googleusercontent.com/MdPdTZVmdgVFE1BKRNTpBU6FEWACvIrfVfkojw8F4krnxwHnWssbHR9B6URtymuMyKU,https://play.google.com/store/apps/details?id=com.burleighlabs.babypics&hl=en&gl=uk,Baby Pics,"The original, award-winning baby milestone photo editor. Ranked #1 photo app in 90+ countries. 

*‘A must have for new parents’ - Pregnancy & Newborn magazine*
*‘The perfect pregnancy app for an expecting Mommy’ - The Daily Dot*

Pregnancy Miles...",1000000,4.69
